CRN,Subject,Course Number,Course,Title,Instructor,Meeting Times,Campus,Instructional Method,Status,Seats Available,Enrollment,Maximum Enrollment,Waitlist Available
83902,EDF,1005,EDF 1005,Introduction to the Teaching Profession,[REDACTED],Online,Distance Learning,Online (DL),OPEN,11,29,40,5
84852,EDF,1005,EDF 1005,Introduction to the Teaching Profession,[REDACTED],Online,Distance Learning,Online (DL),OPEN,5,35,40,5
84146,EDF,1690,EDF 1690,Schools On-Screen: Education in Media,[REDACTED],R | 3:05 PM - 5:50 PM | 57-Petway Hall Room 2120; R | 3:05 PM - 5:50 PM | 57-Petway Hall Room 2120; R | 3:05 PM - 5:50 PM | 57-Petway Hall Room 2120; R | 3:05 PM - 5:50 PM | 57-Petway Hall Room 2120; R | 3:05 PM - 5:50 PM | 57-Petway Hall Room 2120; R | 3:05 PM - 5:50 PM | 57-Petway Hall Room 2120; Online,Hybrid - On Campus/Online,Hybrid,OPEN,7,21,28,0
83903,EDF,2260,EDF 2260,Strategies for Student Success,[REDACTED],W | 12:00 PM - 2:45 PM | 57-Petway Hall Room 2520,Main Campus-UNF,Standard,OPEN,2,33,35,5
83904,EDF,3151,EDF 3151,Educational Psychology,[REDACTED],W | 12:00 PM - 2:45 PM | 57-Petway Hall Room 2010,Main Campus-UNF,Standard,OPEN,4,36,40,5
83905,EDF,3151,EDF 3151,Educational Psychology,[REDACTED],Online,Distance Learning,Online (DL),OPEN,3,37,40,5
83906,EDF,3151,EDF 3151,Educational Psychology,[REDACTED],Online,Distance Learning,Online (DL),OPEN,1,39,40,5
84154,EDF,3151,EDF 3151,Educational Psychology,[REDACTED],Online,Distance Learning,Online (DL),OPEN,17,23,40,5
84582,EDF,3945,EDF 3945,Field Laboratory I,[REDACTED],T | 8:00 AM - 3:00 PM | Off Main Campus Room OFF-MC,Off-Campus: Internships,Independent,OPEN,23,7,30,5
86107,EDF,3945,EDF 3945,Field Laboratory I,[REDACTED],T | 8:00 AM - 3:00 PM | Off Main Campus Room OFF-MC,Off-Campus: Internships,Independent,OPEN,15,5,20,5
84148,EDF,3946,EDF 3946,Field Laboratory II,[REDACTED],R | 8:00 AM - 3:00 PM | Off Main Campus Room OFF-MC,IN: Spring Park Elementary,Standard,OPEN,25,5,30,4
83830,EDF,3947,EDF 3947,Field Laboratory III,[REDACTED],T | 6:00 PM - 8:45 PM | 57-Petway Hall Room 2080,Main Campus-UNF,Independent,OPEN,2,8,10,4
86219,EDF,3947,EDF 3947,Field Laboratory III,[REDACTED],R | 8:00 AM - 3:00 PM | Off Main Campus Room OFF-MC; T | 1:40 PM - 2:55 PM | 57-Petway Hall Room 2302,Twin Lakes Academy-Elem,Independent,OPEN,5,5,10,4
86014,EDF,3990,EDF 3990,Exp: Learn Proc Field Seminar,[REDACTED],M | 3:00 PM - 4:00 PM | 57-Petway Hall Room 2520,Main Campus-UNF,Standard,OPEN,17,13,30,5
85986,EDF,3991,EDF 3991,Exp: Special Methods Field Sem,[REDACTED],W | 3:00 PM - 4:00 PM | 57-Petway Hall Room 2520,Main Campus-UNF,Standard,OPEN,5,30,35,5
83908,EDF,4444,EDF 4444,Assessment of Learning and Behavior,[REDACTED],Online,Distance Learning,Online (DL),OPEN,2,33,35,5
84149,EDF,4444,EDF 4444,Assessment of Learning and Behavior,[REDACTED],M | 4:30 PM - 7:15 PM | 57-Petway Hall Room 2050; M | 4:30 PM - 7:15 PM | 57-Petway Hall Room 2050; M | 4:30 PM - 7:15 PM | 57-Petway Hall Room 2050; M | 4:30 PM - 7:15 PM | 57-Petway Hall Room 2050; M | 4:30 PM - 7:15 PM | 57-Petway Hall Room 2050; M | 4:30 PM - 7:15 PM | 57-Petway Hall Room 2050; Online,Hybrid - On Campus/Online,Hybrid,OPEN,28,2,30,4
85929,EDF,4444,EDF 4444,Assessment of Learning and Behavior,[REDACTED],MW | 1:30 PM - 2:45 PM | 57-Petway Hall Room 1100B,Main Campus-UNF,Standard,OPEN,11,14,25,5
84572,EDF,6237,EDF 6237,Principles of Learning and Introduction to Classroom Assessment,[REDACTED],MW | 4:30 PM - 5:45 PM | Online,Distance Learning,Live Online,OPEN,9,21,30,5
84607,EDF,6480,EDF 6480,Foundations of Educational Research,[REDACTED],Online,Distance Learning,Online (DL),OPEN,5,20,25,5
85573,EDF,6687,EDF 6687,Foundations for Education Studies and Teaching,[REDACTED],Online,Distance Learning,Online (DL),FULL - WAITLIST AVAILABLE,-1,36,35,5
82911,EDF,7545,EDF 7545,Philosophy of Education,[REDACTED],R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 2080; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 2080; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 2080; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 2080; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 2080; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 2080; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 2080; Online,Hybrid - On Campus/Online,Hybrid,FULL - WAITLIST AVAILABLE,0,13,13,5
83111,EDF,7545,EDF 7545,Philosophy of Education,[REDACTED],R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 2070; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 2070; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 2070; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 2070; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 2070; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 2070; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 2070; Online,Hybrid - On Campus/Online,Hybrid,OPEN,1,12,13,5
82295,EDG,2000,EDG 2000,Career Planning and Professional Success,[REDACTED],Online,Distance Learning,Online (DL),OPEN,1,29,30,5
82296,EDG,2000,EDG 2000,Career Planning and Professional Success,[REDACTED],Online,Distance Learning,Online (DL),OPEN,6,24,30,5
84385,EDG,2340,EDG 2340,Introduction to Differentiated Instruction,[REDACTED],Online,Distance Learning,Online (DL),OPEN,4,26,30,5
84591,EDG,3321,EDG 3321,Elementary Field Experience I,[REDACTED],TR | 8:00 AM - 3:00 PM | Off Main Campus Room OFF-MC,Off-Campus: Internships,Independent,OPEN,25,45,70,10
84592,EDG,3322,EDG 3322,Elementary Field Experience II,[REDACTED],TR | 8:00 AM - 3:00 PM | Off Main Campus Room OFF-MC,Off-Campus: Internships,Independent,OPEN,25,23,48,0
83909,EDG,3323,EDG 3323,The Learning Process,[REDACTED],M | 4:30 PM - 7:15 PM | 57-Petway Hall Room 1270,Main Campus-UNF,Standard,OPEN,3,32,35,5
83910,EDG,4410,EDG 4410,Classroom Management and Communication,[REDACTED],M | 3:00 PM - 5:45 PM | 57-Petway Hall Room 1260,Main Campus-UNF,Standard,OPEN,1,34,35,5
83911,EDG,4410,EDG 4410,Classroom Management and Communication,[REDACTED],T | 4:30 PM - 7:15 PM | Online,Distance Learning,Live Online,OPEN,20,15,35,5
84593,EDG,4442,EDG 4442,Elementary Field Experience III,[REDACTED],TR | 8:00 AM - 3:00 PM | Off Main Campus Room OFF-MC,Off-Campus: Internships,Independent,OPEN,6,47,53,0
84147,EDG,6067,EDG 6067,Introduction to Teacher Inquiry,[REDACTED],Online,Distance Learning,Online (DL),OPEN,3,23,26,5
84562,EDG,6348,EDG 6348,Coaching and Mentoring for Effective Teaching and Instruction,[REDACTED],Online,Distance Learning,Online (DL),OPEN,12,18,30,0
84563,EDG,6415,EDG 6415,Principles of Instruction and Classroom Management,[REDACTED],T | 4:30 PM - 5:45 PM | Online; T | 4:30 PM - 5:45 PM | Online; T | 4:30 PM - 5:45 PM | Online; T | 4:30 PM - 5:45 PM | Online; T | 4:30 PM - 5:45 PM | Online; Online,Distance Learning,Online (DL),OPEN,26,4,30,0
83829,EDG,6911,EDG 6911,Action Research in Education,[REDACTED],Online,Distance Learning,Online (DL),OPEN,1,24,25,5
86058,EDG,6911,EDG 6911,Action Research in Education,[REDACTED],Online,Distance Learning,Online (DL),OPEN,12,8,20,0
86060,EDG,6911,EDG 6911,Action Research in Education,[REDACTED],Online,Distance Learning,Online (DL),OPEN,2,18,20,0
84035,EDG,7932,EDG 7932,Advanced Seminar in Instructional Assessment,[REDACTED],R | 6:00 PM - 8:45 PM | 39-J. Brooks Brown Hall Room 1003A; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 1270; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 1270; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 1270; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 1270; R | 6:00 PM - 8:45 PM | 57-Petway Hall Room 1270; R | 6:00 PM - 8:45 PM | Online; Online,Hybrid - On Campus/Online,Hybrid,OPEN,16,9,25,5
84575,EDH,6401,EDH 6401,Higher Education Policy,[REDACTED],T | 6:00 PM - 8:45 PM | 57-Petway Hall Room 1270,Main Campus-UNF,Standard,OPEN,6,24,30,5
85501,EDH,6505,EDH 6505,Higher Education Finance,[REDACTED],W | 6:00 PM - 8:45 PM | 57-Petway Hall Room 2520,Main Campus-UNF,Standard,OPEN,9,21,30,5
82217,EDS,6130,EDS 6130,Human Resource Development in Education (Operational Leadership I),[REDACTED],Online,Distance Learning,Online (DL),OPEN,2,18,20,5
84272,EDS,6130,EDS 6130,Human Resource Development in Education (Operational Leadership I),[REDACTED],Online,Distance Learning,Online (DL),FULL - WAITLIST AVAILABLE,0,25,25,5
84273,EDS,6130,EDS 6130,Human Resource Development in Education (Operational Leadership I),[REDACTED],Online,Distance Learning,Online (DL),OPEN,4,16,20,5
84160,EEC,3408,EEC 3408,"Forming Family, School and Community Partnerships",[REDACTED],Online,Distance Learning,Online (DL),OPEN,3,27,30,5
85574,EEC,3408,EEC 3408,"Forming Family, School and Community Partnerships",[REDACTED],Online,Distance Learning,Online (DL),OPEN,17,13,30,5
83917,EEC,4054,EEC 4054,Leadership and Service in Early Childhood Settings,[REDACTED],Online,Distance Learning,Online (DL),OPEN,4,31,35,5
86173,EEC,4054,EEC 4054,Leadership and Service in Early Childhood Settings,[REDACTED],W | 12:00 PM - 2:45 PM | 57-Petway Hall Room 2070,Main Campus-UNF,Standard,OPEN,21,9,30,5
84605,EEC,4213,EEC 4213,Teaching Literacy in Early Childhood through Grade 3,[REDACTED],Online,Distance Learning,Online (DL),OPEN,1,34,35,5
83919,EEC,4321,EEC 4321,Teaching Mathematics in Early Childhood Settings through grade 3,[REDACTED],M | 4:30 PM - 7:15 PM | 57-Petway Hall Room 1250,Main Campus-UNF,Standard,OPEN,15,20,35,5
83920,EEC,4321,EEC 4321,Teaching Mathematics in Early Childhood Settings through grade 3,[REDACTED],Online,Distance Learning,Online (DL),OPEN,5,33,38,5
84034,EEC,4321,EEC 4321,Teaching Mathematics in Early Childhood Settings through grade 3,[REDACTED],W | 3:00 PM - 5:45 PM | 57-Petway Hall Room 1100B,Main Campus-UNF,Standard,OPEN,2,33,35,5
83980,EEC,4323,EEC 4323,Teaching Science in Early Childhood Settings through grade 3,[REDACTED],Online,Distance Learning,Online (DL),OPEN,5,32,37,5
84000,EEC,4323,EEC 4323,Teaching Science in Early Childhood Settings through grade 3,[REDACTED],M | 12:00 PM - 2:45 PM | 57-Petway Hall Room 1250,Main Campus-UNF,Standard,OPEN,20,15,35,5
83921,EEC,4940,EEC 4940,Childhood Practicum,[REDACTED],Online,Distance Learning,Online (DL),OPEN,9,6,15,5
84576,EEC,4942,EEC 4942,EC Student Internship,[REDACTED],Off Main Campus Room OFF-MC,Off-Campus: Internships,Independent,OPEN,8,2,10,5
86172,EEC,6261,EEC 6261,"Program Planning for Infants, Toddlers, and Young Children",[REDACTED],Online,Distance Learning,Online (DL),OPEN,13,17,30,0
83922,EEC,6611,EEC 6611,Early Childhood Education,[REDACTED],Online,Distance Learning,Online (DL),OPEN,2,28,30,5
83923,EEC,6611,EEC 6611,Early Childhood Education,[REDACTED],Online,Distance Learning,Online (DL),FULL - WAITLIST AVAILABLE,0,30,30,5
83924,EEC,6944,EEC 6944,Practicum in Early Childhood Education,[REDACTED],Online,Distance Learning,Online (DL),OPEN,19,11,30,5
